from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:51229,SKY:ServiceJourney:448-178712-17093494,NSR:Quay:51230,SKY:ServiceJourney:450-178712-17092906,1
NSR:Quay:99593,SKY:ServiceJourney:30-179978-16769058,NSR:Quay:53415,SKY:ServiceJourney:27-179978-16768354,1
NSR:Quay:57719,SKY:ServiceJourney:900-179978-17286206,NSR:Quay:57719,SKY:ServiceJourney:910-179978-16768454,1
NSR:Quay:51203,SKY:ServiceJourney:559-175842-16419842,NSR:Quay:51203,SKY:ServiceJourney:620-175842-16419859,1
NSR:Quay:49625,SKY:ServiceJourney:600-180400-17335784,NSR:Quay:49626,SKY:ServiceJourney:603-180400-17337007,1
NSR:Quay:49625,SKY:ServiceJourney:602-178872-15993346,NSR:Quay:49626,SKY:ServiceJourney:600-178872-16995038,1
NSR:Quay:58351,SKY:ServiceJourney:310-178194-16975418,NSR:Quay:58351,SKY:ServiceJourney:313-178194-16817703,1
NSR:Quay:49625,SKY:ServiceJourney:602-179053-17138549,NSR:Quay:49626,SKY:ServiceJourney:600-179053-17137098,1
NSR:Quay:51058,SKY:ServiceJourney:620-180242-16409966,NSR:Quay:51058,SKY:ServiceJourney:554-180242-16409821,1
NSR:Quay:58846,SKY:ServiceJourney:930-180704-17300820,NSR:Quay:58846,SKY:ServiceJourney:934-180704-16406814,1
NSR:Quay:103636,SKY:ServiceJourney:552-180242-16409565,NSR:Quay:103633,SKY:ServiceJourney:559-180242-17065346,1
NSR:Quay:50561,SKY:ServiceJourney:450-180503-17087261,NSR:Quay:50561,SKY:ServiceJourney:455-180503-17086902,1
NSR:Quay:49625,SKY:ServiceJourney:600-179053-17137054,NSR:Quay:49626,SKY:ServiceJourney:601-179053-17138318,1
NSR:Quay:58003,SKY:ServiceJourney:911-179341-17163440,NSR:Quay:58003,SKY:ServiceJourney:910-179341-17163417,1
NSR:Quay:51885,SKY:ServiceJourney:53-180550-17137312,NSR:Quay:51885,SKY:ServiceJourney:50E-180550-17137592,1
NSR:Quay:49643,SKY:ServiceJourney:610-178884-16807063,NSR:Quay:49643,SKY:ServiceJourney:600-178884-16995412,1
NSR:Quay:53047,SKY:ServiceJourney:499-180507-17087363,NSR:Quay:53047,SKY:ServiceJourney:495-180507-17087500,1
NSR:Quay:58337,SKY:ServiceJourney:300-171529-15768189,NSR:Quay:58336,SKY:ServiceJourney:310-171529-15768297,1
NSR:Quay:55120,SKY:ServiceJourney:424-178712-17092787,NSR:Quay:55120,SKY:ServiceJourney:450-178712-17092919,1
NSR:Quay:52078,SKY:ServiceJourney:471-180505-17086715,NSR:Quay:52077,SKY:ServiceJourney:465-180505-17087552,1
NSR:Quay:103636,SKY:ServiceJourney:552-180242-16409565,NSR:Quay:103633,SKY:ServiceJourney:559-180242-17065345,1
NSR:Quay:53047,SKY:ServiceJourney:495-180505-17087460,NSR:Quay:53047,SKY:ServiceJourney:493-180505-17087585,1
NSR:Quay:49625,SKY:ServiceJourney:600-178882-16995295,NSR:Quay:49626,SKY:ServiceJourney:603-178882-15770563,1
NSR:Quay:53047,SKY:ServiceJourney:495-178551-17093079,NSR:Quay:53044,SKY:ServiceJourney:491-178551-17093128,1
NSR:Quay:53046,SKY:ServiceJourney:484-180503-17087784,NSR:Quay:53048,SKY:ServiceJourney:483-180503-17087709,1
NSR:Quay:49674,SKY:ServiceJourney:35-179645-17245123,NSR:Quay:49674,SKY:ServiceJourney:36-179645-17244839,1
NSR:Quay:54056,SKY:ServiceJourney:925-176521-16426233,NSR:Quay:54056,SKY:ServiceJourney:945-176521-16426226,1
NSR:Quay:102566,SKY:ServiceJourney:300-178191-16973989,NSR:Quay:102566,SKY:ServiceJourney:330-178191-16974133,1
NSR:Quay:56538,SKY:ServiceJourney:495-180501-17087439,NSR:Quay:56538,SKY:ServiceJourney:496-180501-17087614,1
NSR:Quay:52078,SKY:ServiceJourney:471-180479-17339907,NSR:Quay:52077,SKY:ServiceJourney:460-180479-17339999,1
NSR:Quay:102566,SKY:ServiceJourney:300-180331-17306116,NSR:Quay:102566,SKY:ServiceJourney:320-180331-17306153,1
NSR:Quay:51222,SKY:ServiceJourney:442-178551-17093464,NSR:Quay:51221,SKY:ServiceJourney:441-178551-17087123,1
NSR:Quay:56538,SKY:ServiceJourney:495-180505-17087440,NSR:Quay:56538,SKY:ServiceJourney:499-180505-17087358,1
NSR:Quay:58091,SKY:ServiceJourney:912-179341-17162574,NSR:Quay:58091,SKY:ServiceJourney:910-179341-17163370,1
NSR:Quay:58003,SKY:ServiceJourney:910-180583-17258002,NSR:Quay:58003,SKY:ServiceJourney:910-180583-17257989,1
NSR:Quay:56538,SKY:ServiceJourney:496-178712-17093031,NSR:Quay:56538,SKY:ServiceJourney:497-178712-17093017,1
NSR:Quay:58003,SKY:ServiceJourney:910-179815-17268218,NSR:Quay:58003,SKY:ServiceJourney:910-179815-17268219,1
NSR:Quay:53046,SKY:ServiceJourney:484-180501-17087784,NSR:Quay:53047,SKY:ServiceJourney:493-180501-17087589,1
NSR:Quay:53043,SKY:ServiceJourney:485-180503-17087890,NSR:Quay:53043,SKY:ServiceJourney:495-180503-17087429,1
NSR:Quay:49982,SKY:ServiceJourney:601-179592-15993573,NSR:Quay:49982,SKY:ServiceJourney:62-179592-15993383,1
NSR:Quay:55120,SKY:ServiceJourney:441-180505-17087120,NSR:Quay:55120,SKY:ServiceJourney:450-180505-17087257,1
NSR:Quay:53047,SKY:ServiceJourney:495-180509-17087437,NSR:Quay:53044,SKY:ServiceJourney:491-180509-17086780,1
NSR:Quay:58091,SKY:ServiceJourney:910-179978-16768487,NSR:Quay:58091,SKY:ServiceJourney:912-179978-16769580,1
NSR:Quay:102566,SKY:ServiceJourney:300-179580-16974004,NSR:Quay:102566,SKY:ServiceJourney:320-179580-16974093,1
NSR:Quay:56538,SKY:ServiceJourney:495-180501-17087474,NSR:Quay:56538,SKY:ServiceJourney:495-180501-17087440,1
NSR:Quay:58351,SKY:ServiceJourney:312-179281-15985644,NSR:Quay:58351,SKY:ServiceJourney:310-179281-15985411,1
NSR:Quay:53541,SKY:ServiceJourney:991-179094-17307235,NSR:Quay:53541,SKY:ServiceJourney:990-179094-16407125,1
NSR:Quay:56538,SKY:ServiceJourney:495-180479-17340193,NSR:Quay:56538,SKY:ServiceJourney:496-180479-17340268,1
NSR:Quay:51227,SKY:ServiceJourney:460-178509-17091897,NSR:Quay:51229,SKY:ServiceJourney:465-178509-17092136,1
NSR:Quay:52078,SKY:ServiceJourney:479-180509-17086823,NSR:Quay:52077,SKY:ServiceJourney:460-180509-17087084,1
NSR:Quay:54421,SKY:ServiceJourney:73-180400-17336781,NSR:Quay:54421,SKY:ServiceJourney:610-180400-17337111,1
NSR:Quay:102565,SKY:ServiceJourney:300E-179276-17158358,NSR:Quay:102566,SKY:ServiceJourney:320-179276-16817307,1
NSR:Quay:51229,SKY:ServiceJourney:441-178551-17087153,NSR:Quay:51230,SKY:ServiceJourney:450-178551-17092923,1
NSR:Quay:55554,SKY:ServiceJourney:980-176045-16407034,NSR:Quay:55554,SKY:ServiceJourney:983-176045-16407065,1
NSR:Quay:102566,SKY:ServiceJourney:300-178191-16973989,NSR:Quay:102566,SKY:ServiceJourney:326-178191-16974155,1
NSR:Quay:102566,SKY:ServiceJourney:330-171529-15768263,NSR:Quay:102565,SKY:ServiceJourney:300-171529-15768165,1
NSR:Quay:56538,SKY:ServiceJourney:499-178712-17092985,NSR:Quay:56538,SKY:ServiceJourney:485-178712-17093178,1
NSR:Quay:51228,SKY:ServiceJourney:450-180507-17087277,NSR:Quay:51228,SKY:ServiceJourney:442-180507-17086986,1
NSR:Quay:53047,SKY:ServiceJourney:495-180509-17087462,NSR:Quay:53046,SKY:ServiceJourney:484-180509-17087790,1
NSR:Quay:49625,SKY:ServiceJourney:602-179596-15993368,NSR:Quay:49626,SKY:ServiceJourney:610-179596-15993500,1
NSR:Quay:50103,SKY:ServiceJourney:2080-171681-15776783,NSR:Quay:50103,SKY:ServiceJourney:2078-171681-16996258,1
NSR:Quay:52077,SKY:ServiceJourney:479-178551-17093350,NSR:Quay:52077,SKY:ServiceJourney:460-178551-17092804,1
NSR:Quay:51886,SKY:ServiceJourney:57-180400-17336502,NSR:Quay:51885,SKY:ServiceJourney:51-180400-17336401,1
NSR:Quay:53541,SKY:ServiceJourney:991-179094-17307235,NSR:Quay:53541,SKY:ServiceJourney:990-179094-16407109,1
NSR:Quay:102566,SKY:ServiceJourney:300-171529-15768200,NSR:Quay:102567,SKY:ServiceJourney:340-171529-15768347,1
NSR:Quay:55163,SKY:ServiceJourney:910-179876-17273022,NSR:Quay:55163,SKY:ServiceJourney:900-179876-17257852,1
NSR:Quay:52078,SKY:ServiceJourney:479-180501-17086832,NSR:Quay:52077,SKY:ServiceJourney:460-180501-17087085,1
NSR:Quay:57648,SKY:ServiceJourney:900-179978-17286205,NSR:Quay:57648,SKY:ServiceJourney:911-179978-17281835,1
NSR:Quay:102566,SKY:ServiceJourney:300-178194-16974721,NSR:Quay:102566,SKY:ServiceJourney:330-178194-16817347,1
NSR:Quay:53043,SKY:ServiceJourney:485-180505-17087888,NSR:Quay:53043,SKY:ServiceJourney:484-180505-17087814,1
NSR:Quay:57561,SKY:ServiceJourney:901-179876-17257921,NSR:Quay:57562,SKY:ServiceJourney:901-179876-17257919,1
NSR:Quay:49644,SKY:ServiceJourney:740-180400-17336102,NSR:Quay:49644,SKY:ServiceJourney:600-180400-17335753,1
NSR:Quay:102566,SKY:ServiceJourney:300-180331-17306116,NSR:Quay:102566,SKY:ServiceJourney:330-180331-17306184,1
NSR:Quay:49643,SKY:ServiceJourney:600-180400-17335801,NSR:Quay:49643,SKY:ServiceJourney:606-180400-17337024,1
NSR:Quay:99593,SKY:ServiceJourney:26-179876-16769513,NSR:Quay:53418,SKY:ServiceJourney:34-179876-16769289,1
NSR:Quay:56538,SKY:ServiceJourney:496-178712-17093031,NSR:Quay:56538,SKY:ServiceJourney:495-178712-17093047,1
NSR:Quay:54030,SKY:ServiceJourney:925-180708-16406742,NSR:Quay:54030,SKY:ServiceJourney:925-180708-16406743,1
NSR:Quay:54056,SKY:ServiceJourney:990-180704-16407127,NSR:Quay:54056,SKY:ServiceJourney:945-180704-17157178,1
NSR:Quay:52078,SKY:ServiceJourney:479-178551-17093348,NSR:Quay:52077,SKY:ServiceJourney:460-178551-17092805,1
NSR:Quay:55121,SKY:ServiceJourney:499-178712-17093003,NSR:Quay:55121,SKY:ServiceJourney:441-178712-17087127,1
NSR:Quay:51228,SKY:ServiceJourney:445-180505-17087204,NSR:Quay:51228,SKY:ServiceJourney:448-180505-17087859,1
NSR:Quay:53044,SKY:ServiceJourney:493-180509-17087579,NSR:Quay:53043,SKY:ServiceJourney:495-180509-17087485,1
NSR:Quay:58351,SKY:ServiceJourney:310-178194-16975416,NSR:Quay:58351,SKY:ServiceJourney:311-178194-16817553,1
