agency_id,route_id,route_short_name,route_long_name,route_type
SKY:Authority:SKY,SKY:Line:1,1,Bergen lufthavn Flesland- Lagunen - Byparken,901
SKY:Authority:SKY,SKY:Line:10,10,Wergeland/Søndre Skogveien - Mulen,704
SKY:Authority:SKY,SKY:Line:1018,1018,Halhjem - Sandvikvåg,1004
SKY:Authority:SKY,SKY:Line:1019,1019,Masfjordnes - Duesundøy,1004
SKY:Authority:SKY,SKY:Line:1020,1020,Hatvik - Venjaneset,1004
SKY:Authority:SKY,SKY:Line:1021,1021,Våge - Halhjem,1004
SKY:Authority:SKY,SKY:Line:1022,1022,Hufthamar - Krokeide,1004
SKY:Authority:SKY,SKY:Line:1023,1023,Husavik - Sandvikvåg,1004
SKY:Authority:SKY,SKY:Line:1024,1024,Utne - Kvanndal,1004
SKY:Authority:SKY,SKY:Line:1025,1025,Kinsarvik - Utne,1004
SKY:Authority:SKY,SKY:Line:1026,1026,Jondal - Tørvikbygd,1004
SKY:Authority:SKY,SKY:Line:1027,1027,Gjermundshamn - Varaldsøy - Årsnes,1004
SKY:Authority:SKY,SKY:Line:1028,1028,Fedje - Sævrøy,1004
SKY:Authority:SKY,SKY:Line:1029,1029,Leirvåg - Sløvåg,1004
SKY:Authority:SKY,SKY:Line:1030,1030,Langevåg - Buavåg,1004
SKY:Authority:SKY,SKY:Line:1031,1031,Skånevik - Matre -Utåker,1004
SKY:Authority:SKY,SKY:Line:1032,1032,Skjersholmane - Ranavik,1004
SKY:Authority:SKY,SKY:Line:1033,1033,Jektavik - Nordhuglo - Hodnanes,1004
SKY:Authority:SKY,SKY:Line:1034,1034,Fjelberg - Sydnes - Utbjoa - Skjersholmane,1004
SKY:Authority:SKY,SKY:Line:1035,1035,Klokkarvik - Lerøy - Bjelkarøy - Hjellestad,1004
SKY:Authority:SKY,SKY:Line:1036,1036,Valestrandfossen - Breistein,1004
SKY:Authority:SKY,SKY:Line:11,11,Nordnes - Starefossen,704
SKY:Authority:SKY,SKY:Line:12,12,Lønborglien - Lægdene - Montana,704
SKY:Authority:SKY,SKY:Line:13,13,Bergen sentrum - Solheimsviken,704
SKY:Authority:SKY,SKY:Line:14,14,Bergen busstasjon - Fyllingsdalen terminal,704
SKY:Authority:SKY,SKY:Line:15,15,Bergen sentrum - Bønes,704
SKY:Authority:SKY,SKY:Line:16E,16E,Nesttun - Helldalsåsen - Øyjorden,704
SKY:Authority:SKY,SKY:Line:18,18,Barlieveien - Formanns vei,704
SKY:Authority:SKY,SKY:Line:19,19,Åsane - Løvstakkskiftet,704
SKY:Authority:SKY,SKY:Line:2,2,Bybane Fyllingsdalen,901
SKY:Authority:SKY,SKY:Line:20,20,Storavatnet - Haukeland sjukehus,704
SKY:Authority:SKY,SKY:Line:2060,2060,Knappskog - Geitanger,1008
SKY:Authority:SKY,SKY:Line:2070,2070,Kleppestø - Strandkaien,1008
SKY:Authority:SKY,SKY:Line:2071,2071,Hellesøy - Hernar,1008
SKY:Authority:SKY,SKY:Line:2075,2075,Hardangerfjordekspressen,1008
SKY:Authority:SKY,SKY:Line:2078,2078,Båtruter Austevoll,1008
